"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"TIMANA","HUILA",42.99,46.15,0.47,174
"TURBACO","BOLÍVAR",44.33,45.34,0.47,655
"VILLARRICA","TOLIMA",42.26,46.54,0.47,68
"SALADOBLANCO","HUILA",43.4,45.87,0.47,131
"VALPARAISO","CAQUETÁ",41.76,46.81,0.47,58
"YARUMAL","ANTIOQUIA",43.08,46.02,0.47,543
"SACAMA","CASANARE",42.2,46.53,0.47,15
"EL CARMEN","SANTANDER",43.05,46.03,0.47,125
"VIRACACHA","BOYACÁ",41.89,46.7,0.47,27
"ARGELIA","CAUCA",42.7,46.2,0.47,108
"ALBANIA","SANTANDER",41.94,46.62,0.47,50
"TOGUI","BOYACÁ",42.24,46.44,0.47,45
"PAJARITO","BOYACÁ",44.88,44.88,0.47,24
"SOCOTA","BOYACÁ",44.07,45.34,0.47,59
"VALPARAISO","ANTIOQUIA",42.55,46.23,0.47,65
"SANTIAGO","PUTUMAYO",42.86,46.05,0.47,59
"TIBU","NORTE SANTANDER",43.97,45.39,0.46,260
"CONTADERO","NARIÑO",41.08,47.08,0.46,37
"SUTATAUSA","CUNDINAMARCA",43.5,45.65,0.46,92
"YUMBO","VALLE",42.7,46.12,0.46,992
"JUNIN","CUNDINAMARCA",43.64,45.57,0.46,102
"CORRALES","BOYACÁ",44.77,44.9,0.46,30
"SABOYA","BOYACÁ",43.45,45.67,0.46,195
"FLORIAN","SANTANDER",41.85,46.61,0.46,68
"COVARACHIA","BOYACÁ",43.88,45.38,0.46,52
"SIACHOQUE","BOYACÁ",43.7,45.49,0.46,146
"SAN BERNARDO DEL VIENTO","CÓRDOBA",43.6,45.55,0.46,254
"ALCALA","VALLE",41.87,46.56,0.46,136
"ZETAQUIRA","BOYACÁ",42,46.47,0.46,73
"PIVIJAY","MAGDALENA",44.96,44.72,0.46,412
"CARAMANTA","ANTIOQUIA",42.64,46.09,0.46,55
"PUEBLO BELLO","CESAR",42.94,45.91,0.46,107
"SUTATENZA","BOYACÁ",44.05,45.25,0.46,40
"SONSON","ANTIOQUIA",42.38,46.2,0.46,340
"HELICONIA","ANTIOQUIA",43.52,45.52,0.46,42
"ABRIAQUI","ANTIOQUIA",40.71,47.17,0.46,24
"LA VIRGINIA","RISARALDA",43.08,45.77,0.46,397
"TAME","ARAUCA",43.07,45.77,0.46,572
"LA MERCED","CALDAS",42.83,45.91,0.46,102
"SABANAGRANDE","ATLÁNTICO",42.9,45.86,0.46,344
"MONTERREY","CASANARE",42.23,46.26,0.46,332
"NARIÑO","CUNDINAMARCA",40.88,47.04,0.46,26
"EL ESPINO","BOYACÁ",44.67,44.81,0.46,43
"TOCA","BOYACÁ",42.69,45.97,0.46,151
"PUERTO LIBERTADOR","CÓRDOBA",42.5,46.08,0.46,189
"CAMPOALEGRE","HUILA",43.12,45.72,0.46,242
"DOLORES","TOLIMA",43.54,45.46,0.46,98
"EL CERRITO","VALLE",42.3,46.16,0.46,549
"PEQUE","ANTIOQUIA",43.46,45.46,0.46,85
"CUCAITA","BOYACÁ",42.25,46.16,0.46,60
"SAN MATEO","BOYACÁ",45.02,44.52,0.46,50
"VALLE DE SAN JOSE","SANTANDER",44.35,44.9,0.46,80
"EL CASTILLO","META",42.3,46.1,0.46,60
"LA VEGA","CUNDINAMARCA",42.63,45.9,0.46,226
"FRESNO","TOLIMA",42.4,46.03,0.45,272
"FOSCA","CUNDINAMARCA",42.95,45.7,0.45,64
"CAPARRAPI","CUNDINAMARCA",42.2,46.13,0.45,102
"MARSELLA","RISARALDA",42.94,45.7,0.45,174
"LEJANIAS","META",43.36,45.45,0.45,111
"LA DORADA","CALDAS",42.61,45.89,0.45,668
"ANSERMA","CALDAS",42.27,46.09,0.45,433
"ROVIRA","TOLIMA",42.84,45.74,0.45,272
"JESUS MARIA","SANTANDER",45.12,44.4,0.45,50
"MARQUETALIA","CALDAS",42.61,45.87,0.45,216
"ARANZAZU","CALDAS",41.88,46.29,0.45,171
"SAHAGUN","CÓRDOBA",42.89,45.68,0.45,1192
"CORDOBA","QUINDÍO",42.77,45.74,0.45,74
"GUACHETA","CUNDINAMARCA",42.13,46.1,0.45,149
"PRADERA","VALLE",42.66,45.76,0.45,518
"CONFINES","SANTANDER",42.53,45.83,0.45,40
"CONCEPCION","ANTIOQUIA",41.78,46.26,0.45,23
"VALLEDUPAR","CESAR",42.89,45.61,0.45,3922
"CARMEN DE CARUPA","CUNDINAMARCA",43,45.54,0.45,93
"SAN MIGUEL DE SEMA","BOYACÁ",44.25,44.79,0.45,67
"BUENAVISTA","SUCRE",43.86,45.03,0.45,130
"SAN LUIS","TOLIMA",43.43,45.26,0.45,152
"LOS SANTOS","SANTANDER",42.31,45.91,0.45,130
"EL DORADO","META",43.2,45.39,0.45,56
"TAMARA","CASANARE",43.71,45.09,0.45,58
"RIONEGRO","SANTANDER",43.57,45.17,0.45,247
"FREDONIA","ANTIOQUIA",41.76,46.23,0.45,282
"DABEIBA","ANTIOQUIA",42.4,45.85,0.45,115
"PALESTINA","HUILA",42.65,45.71,0.45,94
"IMUES","NARIÑO",44.26,44.75,0.45,97
"CAÑASGORDAS","ANTIOQUIA",42.8,45.6,0.45,218
"BUGALAGRANDE","VALLE",43.11,45.42,0.45,259
"SANTA HELENA DEL OPON","SANTANDER",44.71,44.47,0.45,21
"NORCASIA","CALDAS",42.79,45.6,0.45,48
"TOLEDO","NORTE SANTANDER",43.28,45.3,0.45,234
"UMBITA","BOYACÁ",42.59,45.69,0.45,121
"ZAPATOCA","SANTANDER",42.59,45.68,0.45,131
"GUADUAS","CUNDINAMARCA",42.51,45.72,0.45,252
"LA UNION","VALLE",42.28,45.85,0.45,433
"FUENTE DE ORO","META",42.88,45.5,0.45,146
"AIPE","HUILA",44.14,44.75,0.45,149
"EL ROSAL","CUNDINAMARCA",43.24,45.28,0.45,201
"QUIPAMA","BOYACÁ",42.3,45.82,0.44,50
"SALAZAR","NORTE SANTANDER",43.19,45.3,0.44,101
"URRAO","ANTIOQUIA",42.84,45.49,0.44,317
"ATACO","TOLIMA",42.18,45.88,0.44,140
"TONA","SANTANDER",42.14,45.9,0.44,50
"CUBARRAL","META",42.23,45.81,0.44,73
"LA PAZ (ROBLES)","CESAR",42.54,45.61,0.44,175
"BETANIA","ANTIOQUIA",42.54,45.6,0.44,91
"CARACOLI","ANTIOQUIA",42.27,45.75,0.44,44
"LA VICTORIA","BOYACÁ",39.8,47.2,0.44,15
"SANTANDER DE QUILICHAO","CAUCA",42.81,45.42,0.44,1015
"LA TEBAIDA","QUINDÍO",42.63,45.52,0.44,485
"CAUCASIA","ANTIOQUIA",42.42,45.64,0.44,1050
"CHIVOR","BOYACÁ",41.27,46.31,0.44,26
"SAN LORENZO","NARIÑO",43.28,45.13,0.44,170
"SAN ANDRES","ANTIOQUIA",43.43,45.04,0.44,49
"SANTACRUZ (GUACHAVES)","NARIÑO",43.62,44.92,0.44,78
"TANGUA","NARIÑO",43.2,45.17,0.44,103
"CARMEN DE APICALA","TOLIMA",42.76,45.4,0.44,114
"CHARTA","SANTANDER",42.28,45.68,0.44,25
"ALVARADO","TOLIMA",42.26,45.69,0.44,84
"JAMUNDI","VALLE",41.72,45.99,0.44,914
"TIPACOQUE","BOYACÁ",43,45.24,0.44,37
"COROZAL","SUCRE",42.96,45.26,0.44,770
"CHISCAS","BOYACÁ",42.35,45.62,0.44,66
"SAN JUAN DEL CESAR","LA GUAJIRA",42.43,45.56,0.44,415
"ARBOLEDA (BERRUECOS)","NARIÑO",43.24,45.08,0.44,85
"FRONTINO","ANTIOQUIA",42.04,45.78,0.44,225
"RIO DE ORO","CESAR",43.71,44.78,0.44,115
"MARIPI","BOYACÁ",42.75,45.35,0.44,84
"BURITICA","ANTIOQUIA",42.6,45.43,0.44,63
"MATANZA","SANTANDER",41.59,46.02,0.44,62
"QUIPILE","CUNDINAMARCA",43.09,45.13,0.44,97
"RIOBLANCO","TOLIMA",42.31,45.59,0.44,149
"SAN LUIS","ANTIOQUIA",42.51,45.47,0.44,152
"GACHANTIVA","BOYACÁ",42.15,45.67,0.44,48
"CURILLO","CAQUETÁ",42.67,45.36,0.44,72
"SAN ANTONIO","TOLIMA",42.74,45.3,0.44,160
"SATIVANORTE","BOYACÁ",43.05,45.12,0.44,42
"PIEDRAS","TOLIMA",44.11,44.49,0.44,55
"FLORIDA","VALLE",42.34,45.51,0.43,607
"GIRARDOT","CUNDINAMARCA",42.48,45.42,0.43,774
"SAN FRANCISCO","PUTUMAYO",43.91,44.57,0.43,99
"MALLAMA (PIEDRANCHA)","NARIÑO",41.28,46.11,0.43,77
"ZIPACON","CUNDINAMARCA",41.88,45.75,0.43,71
"PIENDAMO","CAUCA",41.85,45.77,0.43,409
"BELEN DE UMBRIA","RISARALDA",42.09,45.62,0.43,329
"EBEJICO","ANTIOQUIA",42.88,45.15,0.43,144
"ARMERO (GUAYABAL)","TOLIMA",42.45,45.39,0.43,129
"CUCUNUBA","CUNDINAMARCA",42.13,45.57,0.43,109
"VALDIVIA","ANTIOQUIA",41.96,45.65,0.43,81
"TORO","VALLE",42.43,45.37,0.43,142
"APARTADO","ANTIOQUIA",42.3,45.45,0.43,1196
"SAN ANDRES","SAN ANDRÉS",43.08,44.99,0.43,572
"LA VEGA","CAUCA",41.84,45.69,0.43,172
"EL CARMEN","NORTE SANTANDER",41.09,46.08,0.43,69
"PITAL","HUILA",41.8,45.66,0.43,112
"FALAN","TOLIMA",43.06,44.92,0.43,98
"GALERAS (NUEVA GRANADA)","SUCRE",42.96,44.96,0.43,350
"BOLIVAR","VALLE",42.37,45.3,0.43,167
"SAN JOSE DEL GUAVIARE","GUAVIARE",42.69,45.08,0.43,732
"TOTA","BOYACÁ",42.14,45.39,0.43,69
"PUERTO LOPEZ","META",42.71,45.05,0.43,338
"EL DONCELLO","CAQUETÁ",42.73,45.04,0.43,287
"PACORA","CALDAS",41.19,45.95,0.43,166
"SAN JUAN DE ARAMA","META",41.83,45.56,0.43,104
"COPER","BOYACÁ",43.28,44.69,0.43,39
"AGUAZUL","CASANARE",42.68,45.05,0.43,713
"RICAURTE","CUNDINAMARCA",43.5,44.56,0.42,97
"EL COPEY","CESAR",42.11,45.36,0.42,250
"SALGAR","ANTIOQUIA",42.89,44.89,0.42,103
"CARTAGENA DEL CHAIRA","CAQUETÁ",42.45,45.13,0.42,220
"PORE","CASANARE",42.62,45.02,0.42,82
"VISTA HERMOSA","META",41.39,45.73,0.42,126
"ZARZAL","VALLE",41.76,45.52,0.42,471
"LA UNION","SUCRE",41.67,45.56,0.42,156
"EL PEÑON","SANTANDER",42.73,44.93,0.42,45
"YAGUARA","HUILA",43.66,44.36,0.42,104
"CASTILLA LA NUEVA","META",42.77,44.88,0.42,191
"SANTIAGO","NORTE SANTANDER",44.62,43.79,0.42,29
"MANTA","CUNDINAMARCA",41.43,45.66,0.42,78
"GUAYABAL DE SIQUIMA","CUNDINAMARCA",41.44,45.65,0.42,82
"EL CAIRO","VALLE",41.21,45.75,0.42,72
"MIRAFLORES","GUAVIARE",40.36,46.25,0.42,28
"ACEVEDO","HUILA",41.85,45.37,0.42,151
"EL AGUILA","VALLE",41.56,45.54,0.42,110
"SOPETRAN","ANTIOQUIA",42.41,45,0.42,193
"JERUSALEN","CUNDINAMARCA",43.1,44.59,0.42,29
"ANZOATEGUI","TOLIMA",42.02,45.21,0.42,78
"ENCINO","SANTANDER",45.47,43.19,0.42,32
"GIRALDO","ANTIOQUIA",41.2,45.69,0.42,62
"LA PLAYA","NORTE SANTANDER",40.96,45.82,0.42,57
"LABRANZAGRANDE","BOYACÁ",42.5,44.92,0.42,24
"GALAPA","ATLÁNTICO",42.97,44.64,0.42,391
"COROMORO","SANTANDER",42.93,44.65,0.42,66
"CABRERA","SANTANDER",43.59,44.26,0.42,42
"TIERRALTA","CÓRDOBA",41.64,45.4,0.42,803
"HATO","SANTANDER",41,45.77,0.42,26
"GUATAVITA","CUNDINAMARCA",42.9,44.65,0.42,57
"SAN JOSE DE PARE","BOYACÁ",44.19,43.89,0.42,36
"ORITO","PUTUMAYO",42.53,44.86,0.42,471
"YOTOCO","VALLE",41.49,45.45,0.41,132
"TEORAMA","NORTE SANTANDER",42.3,44.97,0.41,83
"INZA","CAUCA",41.62,45.36,0.41,267
"VILLA GUAMEZ (LA HORMIGA)","PUTUMAYO",42.2,45,0.41,485
"PLANETA RICA","CÓRDOBA",41.57,45.37,0.41,825
"FORTUL","ARAUCA",42.49,44.83,0.41,225
"LA MACARENA","META",42.02,45.1,0.41,99
"MANZANARES","CALDAS",42.55,44.79,0.41,232
"OBANDO","VALLE",41.72,45.25,0.41,116
"PUERTO LLERAS","META",41.82,45.17,0.41,88
"TRINIDAD","CASANARE",42.6,44.71,0.41,145
"EL PEÑOL","NARIÑO",43.39,44.24,0.41,111
"ITUANGO","ANTIOQUIA",42.78,44.59,0.41,197
"BUCARASICA","NORTE SANTANDER",41.21,45.51,0.41,43
"PUERTO COLOMBIA","ATLÁNTICO",42.44,44.79,0.41,367
"SANTO TOMAS","ATLÁNTICO",42.75,44.6,0.41,190
"SAN RAFAEL","ANTIOQUIA",41.29,45.44,0.41,175
"ARMENIA","ANTIOQUIA",43.07,44.4,0.41,58
"RECETOR","CASANARE",41.72,45.16,0.41,25
"CERETE","CÓRDOBA",42.08,44.95,0.41,1058
"LIBORINA","ANTIOQUIA",40.93,45.6,0.41,116
"LA CELIA","RISARALDA",42.95,44.41,0.41,82
"HOBO","HUILA",42.28,44.8,0.41,54
"VITERBO","CALDAS",42.2,44.84,0.41,222
"ESPINAL","TOLIMA",42.11,44.89,0.41,806
"NATAGA","HUILA",41.57,45.19,0.41,98
"BARANOA","ATLÁNTICO",42.26,44.78,0.41,661
"YOLOMBO","ANTIOQUIA",42.96,44.37,0.41,245
"MACANAL","BOYACÁ",43.13,44.26,0.41,54
"SAN CARLOS","ANTIOQUIA",41.6,45.15,0.41,161
"PANDI","CUNDINAMARCA",41.39,45.26,0.41,31
"TOCAIMA","CUNDINAMARCA",43.34,44.1,0.4,148
"LA SIERRA","CAUCA",41.26,45.32,0.4,115
"GUTIERREZ","CUNDINAMARCA",42.68,44.49,0.4,43
"GUADALUPE","HUILA",42.49,44.6,0.4,161
"ROSAS","CAUCA",41.45,45.2,0.4,128
"ALBAN","CUNDINAMARCA",42.08,44.83,0.4,89
"RIOFRIO","VALLE",40.75,45.61,0.4,156
"VIJES","VALLE",41.69,45.06,0.4,108
"CURUMANI","CESAR",41.76,45,0.4,314
"SIMITI","BOLÍVAR",42.92,44.32,0.4,134
"PUERTO SANTANDER","NORTE SANTANDER",43.19,44.15,0.4,54
"SAN BENITO","SANTANDER",41.85,44.93,0.4,41
"EL ZULIA","NORTE SANTANDER",42.52,44.53,0.4,217
"SAN PEDRO","VALLE",41.04,45.4,0.4,170
"MACEO","ANTIOQUIA",41.06,45.39,0.4,103
"PAUNA","BOYACÁ",42.01,44.81,0.4,107
"YACOPI","CUNDINAMARCA",42.38,44.57,0.4,93
"BOLIVAR","CAUCA",41.61,45.02,0.4,348
"PUERTO BOYACA","BOYACÁ",42.01,44.78,0.4,589
"CUBARA","BOYACÁ",42.16,44.69,0.4,79
"LA PALMA","CUNDINAMARCA",41.74,44.93,0.4,149
"MANI","CASANARE",41.91,44.83,0.4,133
"RICAURTE","NARIÑO",42.81,44.28,0.4,116
"SUCRE","CAUCA",41.12,45.26,0.4,42
"LA APARTADA (LA FRONTERA)","CÓRDOBA",40.74,45.48,0.4,133
"SUPIA","CALDAS",41.57,44.99,0.4,463
"ARBOLETES","ANTIOQUIA",41.52,45.01,0.4,342
"MORALES","CAUCA",41.64,44.92,0.4,244
"SUESCA","CUNDINAMARCA",42.45,44.43,0.4,224
"GUATICA","RISARALDA",41.6,44.92,0.4,182
"PUERTO PARRA","SANTANDER",42.82,44.17,0.4,61
"BELALCAZAR","CALDAS",42.08,44.59,0.4,110
"SANTA BARBARA","SANTANDER",42.17,44.54,0.4,24
"MORELIA","CAQUETÁ",41.7,44.81,0.4,36
"GUACA","SANTANDER",43.45,43.76,0.39,29
"UBALA","CUNDINAMARCA",42.16,44.51,0.39,100
"VERSALLES","VALLE",41.84,44.69,0.39,74
"CIENAGA DE ORO","CÓRDOBA",41.48,44.89,0.39,612
"BUENAVISTA","QUINDÍO",41.46,44.89,0.39,56
"GAMBITA","SANTANDER",44.54,43.08,0.39,24
"PRADO","TOLIMA",42,44.57,0.39,122
"RAGONVALIA","NORTE SANTANDER",42.56,44.22,0.39,45
"BALBOA","CAUCA",41.16,45.04,0.39,159
"EL PAUJIL","CAQUETÁ",41.67,44.74,0.39,140
"SANTO DOMINGO","ANTIOQUIA",41.75,44.66,0.39,197
"BARRANCA DE UPIA","META",42.7,44.1,0.39,70
"PUERTO  LEGUIZAMO","PUTUMAYO",41.86,44.59,0.39,214
"SAN CARLOS DE GUAROA","META",42.46,44.24,0.39,101
"SAN JUANITO","META",42.67,44.11,0.39,18
"ARATOCA","SANTANDER",42.09,44.43,0.39,167
"CHITA","BOYACÁ",41.27,44.9,0.39,119
"PUEBLO NUEVO","CÓRDOBA",41.2,44.92,0.39,274
"CARTAGENA","BOLÍVAR",42.11,44.38,0.39,8949
"BELEN DE BAJIRA","CHOCÓ",43.14,43.77,0.39,22
"TRUJILLO","VALLE",40.69,45.2,0.39,191
"BOSCONIA","CESAR",41.9,44.49,0.39,446
"VENECIA","ANTIOQUIA",41.23,44.88,0.39,123
"URUMITA","LA GUAJIRA",41.89,44.49,0.39,96
"SANTA MARTA","MAGDALENA",41.73,44.58,0.39,4537
"AGUSTIN CODAZZI","CESAR",42.77,43.94,0.39,582
"ARGELIA","ANTIOQUIA",41.33,44.77,0.39,106
"PARATEBUENO","CUNDINAMARCA",42.64,44,0.39,75
"PAIME","CUNDINAMARCA",42.87,43.87,0.39,52
"OTANCHE","BOYACÁ",41.56,44.61,0.39,93
"SAN JOAQUIN","SANTANDER",42.43,44.09,0.39,42
"GUICAN","BOYACÁ",41.83,44.42,0.38,53
"CHALAN","SUCRE",41.57,44.57,0.38,21
"CAICEDO","ANTIOQUIA",40.14,45.41,0.38,84
"CHITARAQUE","BOYACÁ",42.48,44.03,0.38,40
"MESETAS","META",42.36,44.1,0.38,78
"SABANALARGA","ANTIOQUIA",42.14,44.23,0.38,67
"CARURU","VAUPÉS",40.48,45.2,0.38,25
"LETICIA","AMAZONAS",41.38,44.67,0.38,579
"COELLO","TOLIMA",41.99,44.29,0.38,95
"SAN PABLO DE BORBUR","BOYACÁ",41.38,44.65,0.38,37
"PUERTO GAITAN","META",42.38,44.06,0.38,223
"LA VICTORIA","VALLE",41.34,44.67,0.38,179
"CISNEROS","ANTIOQUIA",41.48,44.58,0.38,138
"HACARI","NORTE SANTANDER",42.25,44.13,0.38,24
"GUAVATA","SANTANDER",42.17,44.18,0.38,46
"RIOHACHA","LA GUAJIRA",41.84,44.35,0.38,1640
"SILVANIA","CUNDINAMARCA",41.29,44.67,0.38,267
"GENOVA","QUINDÍO",40.69,45.02,0.38,103
"DURANIA","NORTE SANTANDER",43.82,43.18,0.38,50
"BALBOA","RISARALDA",40.93,44.87,0.38,85
"ARBOLEDAS","NORTE SANTANDER",42.49,43.95,0.38,119
"SAMPUES","SUCRE",42.05,44.21,0.38,517
"SANTA MARIA","HUILA",40.52,45.08,0.38,111
"PUERTO RONDON","ARAUCA",42.74,43.77,0.38,43
"SAN VICENTE DEL CAGUAN","CAQUETÁ",41.29,44.59,0.38,361
"ANSERMANUEVO","VALLE",40.41,45.11,0.38,206
"MAGANGUE","BOLÍVAR",41.41,44.51,0.38,1165
"BECERRIL","CESAR",43.05,43.53,0.38,231
"SUAREZ","TOLIMA",41.83,44.25,0.38,41
"CACERES","ANTIOQUIA",41.34,44.52,0.38,188
"PLANADAS","TOLIMA",41.38,44.49,0.38,189
"OROCUE","CASANARE",41.79,44.25,0.38,104
"TURBANA","BOLÍVAR",41.76,44.26,0.38,153
"VIOTA","CUNDINAMARCA",41.82,44.22,0.38,219
"CHIQUIZA","BOYACÁ",43.03,43.5,0.38,66
"PURACE (COCONUCO)","CAUCA",40.73,44.85,0.38,103
"PAYA","BOYACÁ",44.41,42.68,0.38,22
"MUZO","BOYACÁ",42.84,43.59,0.38,107
"TARAIRA","VAUPÉS",40.33,45.06,0.38,18
"NECHI","ANTIOQUIA",42.17,43.98,0.38,133
"NIMAIMA","CUNDINAMARCA",40.78,44.79,0.38,37
"BARAYA","HUILA",40.55,44.9,0.37,69
"LA PEÑA","CUNDINAMARCA",42.21,43.91,0.37,75
"BRICEÑO","ANTIOQUIA",41.75,44.15,0.37,60
"PUERTO CARREÑO","VICHADA",41.45,44.33,0.37,225
"POLICARPA","NARIÑO",42.03,43.98,0.37,98
"LA MONTAÑITA","CAQUETÁ",41.01,44.54,0.37,101
"BETULIA","SANTANDER",42.94,43.39,0.37,47
"SAN JACINTO","BOLÍVAR",42.33,43.74,0.37,364
"APIA","RISARALDA",41.33,44.32,0.37,333
"CUASPUD (CARLOSAMA)","NARIÑO",41.48,44.23,0.37,60
"ANGELOPOLIS","ANTIOQUIA",41.57,44.18,0.37,56
"CORINTO","CAUCA",41.12,44.38,0.37,329
"CAJIBIO","CAUCA",41.42,44.2,0.37,196
"TUNUNGUA","BOYACÁ",42.11,43.79,0.37,19
"PULI","CUNDINAMARCA",39.76,45.16,0.37,25
"CHIGORODO","ANTIOQUIA",41.07,44.39,0.37,817
"GUACARI","VALLE",41.1,44.37,0.37,396
"VILLAVIEJA","HUILA",42.8,43.37,0.37,76
"PUERTO RICO","CAQUETÁ",41.03,44.39,0.37,218
"EL ROBLE","SUCRE",40.76,44.54,0.37,63
"EL ROSARIO","NARIÑO",40.17,44.88,0.37,42
"MALAMBO","ATLÁNTICO",41.48,44.1,0.37,678
"FONSECA","LA GUAJIRA",41.98,43.8,0.36,470
"SAN SEBASTIAN DE BUENAVISTA","MAGDALENA",40.48,44.67,0.36,246
"CIMITARRA","SANTANDER",41.26,44.2,0.36,406
"SAMANA","CALDAS",40.86,44.43,0.36,246
"EL TAMBO","CAUCA",41.02,44.28,0.36,328
"SAN ROQUE","ANTIOQUIA",40.22,44.75,0.36,253
"VALLE DE SAN JUAN","TOLIMA",41.7,43.88,0.36,79
"TARAZA","ANTIOQUIA",40.72,44.44,0.36,341
"SAN MARCOS","SUCRE",41.44,44.02,0.36,713
"CUNDAY","TOLIMA",41.03,44.25,0.36,118
"CACOTA","NORTE SANTANDER",42.78,43.22,0.36,31
"LERIDA","TOLIMA",41.11,44.16,0.36,231
"SAN PEDRO DE URABA","ANTIOQUIA",41.39,43.98,0.36,347
"MUTATA","ANTIOQUIA",41.35,44,0.36,157
"VALENCIA","CÓRDOBA",41.25,44.04,0.36,432
"CORDOBA","BOLÍVAR",42.19,43.47,0.36,164
"YALI","ANTIOQUIA",39.94,44.79,0.36,85
"SAN PEDRO DE CARTAGO","NARIÑO",40.42,44.5,0.36,54
"CHIRIGUANA","CESAR",42.04,43.55,0.36,228
"SAN DIEGO","CESAR",40.88,44.17,0.35,200
"CHAGUANI","CUNDINAMARCA",41.94,43.53,0.35,32
"ORTEGA","TOLIMA",40.99,44.07,0.35,369
"ONZAGA","SANTANDER",41.15,43.97,0.35,83
"ASTREA","CESAR",40.52,44.3,0.35,211
"ALBANIA","CAQUETÁ",41.65,43.62,0.35,48
"SAN JERONIMO","ANTIOQUIA",40.55,44.26,0.35,215
"SAN CAYETANO","NORTE SANTANDER",40.84,44.08,0.35,50
"MARMATO","CALDAS",40.76,44.13,0.35,86
"MAICAO","LA GUAJIRA",41.41,43.73,0.35,1826
"VENECIA (OSPINA PEREZ)","CUNDINAMARCA",42.13,43.28,0.35,64
"ANGOSTURA","ANTIOQUIA",41.3,43.75,0.35,113
"OLAYA","ANTIOQUIA",39.59,44.75,0.35,44
"SITIONUEVO","MAGDALENA",41.01,43.92,0.35,113
"SAN JUAN NEPOMUCENO","BOLÍVAR",41.27,43.75,0.35,500
"YONDO (CASABE)","ANTIOQUIA",41.16,43.81,0.35,117
"PUERTO BERRIO","ANTIOQUIA",40.74,44.05,0.35,505
"TOLUVIEJO","SUCRE",41.33,43.68,0.35,275
"PIAMONTE","CAUCA",40.84,43.97,0.35,32
"SOTARA (PAISPAMBA)","CAUCA",40.1,44.4,0.35,83
"SAN PABLO","BOLÍVAR",41.17,43.76,0.35,298
"LA PRIMAVERA","VICHADA",41.07,43.82,0.35,84
"LA JAGUA DE IBIRICO","CESAR",41.24,43.7,0.35,342
"SANTAFÉ DE ANTIOQUIA","ANTIOQUIA",40.43,44.12,0.34,392
"LA PINTADA","ANTIOQUIA",40.58,44.03,0.34,104
"PURIFICACION","TOLIMA",41.05,43.75,0.34,316
"BELEN DE LOS ANDAQUIES","CAQUETÁ",41.18,43.66,0.34,126
"MISTRATO","RISARALDA",41.35,43.54,0.34,110
"LA GLORIA","CESAR",40.59,43.98,0.34,108
"PESCA","BOYACÁ",41.79,43.27,0.34,77
"TELLO","HUILA",41.94,43.18,0.34,163
"CAMPAMENTO","ANTIOQUIA",41.78,43.25,0.34,36
"MOÑITOS","CÓRDOBA",41.54,43.39,0.34,281
"HATO COROZAL","CASANARE",41.47,43.4,0.34,161
"GACHALA","CUNDINAMARCA",40.45,44,0.34,63
"PUERTO GUZMAN","PUTUMAYO",40.81,43.77,0.34,97
"SAN CALIXTO","NORTE SANTANDER",40.09,44.19,0.34,32
"CHINU","CÓRDOBA",41.03,43.63,0.34,377
"SANTA CATALINA","BOLÍVAR",42.17,42.96,0.34,139
"BUENAVENTURA","VALLE",40.8,43.76,0.34,2649
"SALAMINA","MAGDALENA",40.57,43.89,0.34,104
"PROVIDENCIA","SAN ANDRÉS",41.18,43.52,0.34,49
"QUIBDO","CHOCÓ",40.77,43.75,0.34,1550
"URAMITA","ANTIOQUIA",41.15,43.51,0.34,62
"SAN ONOFRE","SUCRE",41.27,43.44,0.34,503
"REMEDIOS","ANTIOQUIA",40.98,43.6,0.34,235
"CHIMA","CÓRDOBA",40.82,43.68,0.34,189
"SATIVASUR","BOYACÁ",41.95,43,0.34,19
"ARJONA","BOLÍVAR",40.99,43.56,0.34,651
"SAN MIGUEL","PUTUMAYO",40.96,43.58,0.33,249
"HATONUEVO","LA GUAJIRA",40.46,43.86,0.33,161
"MOMPOS","BOLÍVAR",40.76,43.67,0.33,596
"VILLANUEVA","LA GUAJIRA",40.75,43.67,0.33,230
"USIACURI","ATLÁNTICO",40.16,44,0.33,67
"SALDAÑA","TOLIMA",40.84,43.59,0.33,176
"SAN MARTIN DE LOBA","BOLÍVAR",40.68,43.68,0.33,266
"FUNDACION","MAGDALENA",41.41,43.24,0.33,755
"MAPIRIPAN","META",41.11,43.42,0.33,38
"SANTANA","BOYACÁ",40.13,43.99,0.33,100
"PATIA(EL BORDO)","CAUCA",41.27,43.32,0.33,304
"PROVIDENCIA","NARIÑO",41.79,43,0.33,58
"EL BAGRE","ANTIOQUIA",40.6,43.68,0.33,502
"PUERTO CONCORDIA","META",40.81,43.55,0.33,63
"LOS PALMITOS","SUCRE",41.32,43.25,0.33,276
"CONDOTO","CHOCÓ",40.96,43.46,0.33,241
"JUAN DE ACOSTA","ATLÁNTICO",40.7,43.61,0.33,212
"JERICO","BOYACÁ",42.61,42.48,0.33,44
"GUAMO","TOLIMA",40.14,43.92,0.33,427
"ARGELIA","VALLE",39.49,44.29,0.33,63
"VICTORIA","CALDAS",40.38,43.76,0.33,131
"RAFAEL REYES (APULO)","CUNDINAMARCA",40.77,43.5,0.33,102
"AYAPEL","CÓRDOBA",40.1,43.89,0.33,374
"EL TARRA","NORTE SANTANDER",41.16,43.26,0.33,62
