"Municipio","Departamento","Matemática","Lenguaje","Promedio","Evaluados"
"VETAS","SANTANDER",47.06,47.33,0.6,18
"SANTUARIO","ANTIOQUIA",44.85,48.63,0.6,277
"NOCAIMA","CUNDINAMARCA",45.09,48.46,0.6,83
"SOPO","CUNDINAMARCA",46.14,47.82,0.6,296
"SAN ALBERTO","CESAR",46.52,47.59,0.6,174
"CHIQUINQUIRA","BOYACÁ",46.35,47.68,0.6,895
"SIBUNDOY","PUTUMAYO",45.75,48.03,0.6,314
"MOSQUERA","CUNDINAMARCA",45.32,48.27,0.6,892
"BITUIMA","CUNDINAMARCA",44.29,48.86,0.6,21
"MANIZALES","CALDAS",45.62,48.07,0.6,3770
"POPAYAN","CAUCA",45.78,47.97,0.6,2730
"TOCANCIPA","CUNDINAMARCA",46.39,47.61,0.6,431
"SAN FRANCISCO","ANTIOQUIA",45.52,48.11,0.6,27
"GIRON","SANTANDER",45.96,47.81,0.6,1257
"DOS QUEBRADAS","RISARALDA",44.98,48.36,0.59,1551
"LA CALERA","CUNDINAMARCA",44.54,48.6,0.59,199
"POTOSI","NARIÑO",45.31,48.11,0.59,132
"CIRCASIA","QUINDÍO",45.77,47.82,0.59,354
"NARIÑO","NARIÑO",45.74,47.82,0.59,39
"SORACA","BOYACÁ",45.42,48,0.59,73
"SAN JOSE DE LA MONTAÑA","ANTIOQUIA",46.12,47.58,0.59,33
"SAN LUIS DE PALENQUE","CASANARE",45.06,48.19,0.59,88
"CONSACA","NARIÑO",46.82,47.13,0.59,126
"GINEBRA","VALLE",45.23,48.04,0.59,217
"BELEN","NARIÑO",47.51,46.69,0.59,104
"TASCO","BOYACÁ",46.57,47.24,0.59,51
"GOMEZ PLATA","ANTIOQUIA",45.21,48.03,0.59,97
"PASCA","CUNDINAMARCA",44.26,48.53,0.59,199
"ITAGUI","ANTIOQUIA",44.79,48.22,0.58,2686
"VILLANUEVA","SANTANDER",47.33,46.72,0.58,110
"PIEDECUESTA","SANTANDER",45.67,47.69,0.58,1558
"CONTRATACION","SANTANDER",47.72,46.48,0.58,90
"CAPITANEJO","SANTANDER",45.55,47.72,0.58,53
"RAMIRIQUI","BOYACÁ",45.18,47.92,0.58,140
"GUADALUPE","SANTANDER",46.58,47.09,0.58,122
"GIRARDOTA","ANTIOQUIA",44.93,48.03,0.58,435
"MEDELLIN","ANTIOQUIA",44.44,48.26,0.58,18472
"BELEN","BOYACÁ",46.15,47.26,0.58,106
"ALDANA","NARIÑO",45.84,47.41,0.58,92
"FLORESTA","BOYACÁ",45.85,47.38,0.58,55
"TIBIRITA","CUNDINAMARCA",43.59,48.68,0.58,37
"INIRIDA","GUAINÍA",45.14,47.77,0.58,194
"PARAMO","SANTANDER",43.27,48.84,0.58,49
"TAMINANGO","NARIÑO",48.21,45.92,0.57,301
"OSPINA","NARIÑO",44.99,47.79,0.57,85
"ISNOS","HUILA",45.34,47.57,0.57,218
"FUNES","NARIÑO",44.22,48.23,0.57,64
"ELIAS","HUILA",44.4,48.12,0.57,42
"SAN ANTONIO DE TEQUENDAMA","CUNDINAMARCA",46.1,47.08,0.57,138
"PANQUEBA","BOYACÁ",45.12,47.65,0.57,43
"CERRITO","SANTANDER",44.51,48,0.57,63
"TUTA","BOYACÁ",45.8,47.23,0.57,137
"SARAVENA","ARAUCA",45.87,47.18,0.57,557
"EL CALVARIO","META",45.36,47.44,0.57,25
"CHACHAGUI","NARIÑO",45.62,47.28,0.57,118
"GUALMATAN","NARIÑO",45.06,47.61,0.57,69
"BOLIVAR","ANTIOQUIA",43.86,48.3,0.57,195
"OPORAPA","HUILA",46.48,46.76,0.57,91
"LA UVITA","BOYACÁ",46.07,47,0.57,46
"FUSAGASUGA","CUNDINAMARCA",44.37,47.98,0.57,1260
"NUEVO COLON","BOYACÁ",45.06,47.58,0.57,95
"NEIVA","HUILA",45.03,47.58,0.57,3155
"UBATE","CUNDINAMARCA",44.85,47.68,0.57,569
"VENTAQUEMADA","BOYACÁ",46.1,46.95,0.57,231
"SAMACA","BOYACÁ",45.83,47.09,0.57,216
"OIBA","SANTANDER",46.02,46.94,0.56,197
"BETEITIVA","BOYACÁ",46.03,46.9,0.56,30
"MEDINA","CUNDINAMARCA",45.67,47.1,0.56,58
"ANCUYA","NARIÑO",46.62,46.53,0.56,101
"SORA","BOYACÁ",44.46,47.78,0.56,50
"PALMAR","SANTANDER",44.24,47.89,0.56,37
"SANTA SOFIA","BOYACÁ",46.35,46.65,0.56,34
"CAJAMARCA","TOLIMA",44.48,47.75,0.56,149
"GUATAPE","ANTIOQUIA",44.86,47.5,0.56,114
"LA UNION","ANTIOQUIA",43.47,48.3,0.56,229
"SUCRE","SANTANDER",44.57,47.63,0.56,97
"ANZA","ANTIOQUIA",42.55,48.8,0.56,31
"CHITAGA","NORTE SANTANDER",44.67,47.55,0.56,69
"PENSILVANIA","CALDAS",43.58,48.18,0.56,236
"SILOS","NORTE SANTANDER",44.24,47.79,0.56,29
"GARZON","HUILA",44.33,47.73,0.56,609
"LOS PATIOS","NORTE SANTANDER",45.37,47.12,0.56,510
"BARBOSA","ANTIOQUIA",43.85,48.02,0.56,345
"SACHICA","BOYACÁ",45.24,47.19,0.56,37
"SIMIJACA","CUNDINAMARCA",46.83,46.2,0.56,143
"ROLDANILLO","VALLE",42.85,48.54,0.56,410
"CUCUTA","NORTE SANTANDER",45.54,46.96,0.56,5944
"BUGA","VALLE",44.22,47.73,0.56,961
"LA URIBE","META",44.9,47.32,0.55,43
"LA CUMBRE","VALLE",43.83,47.93,0.55,130
"IBAGUE","TOLIMA",44.35,47.61,0.55,5666
"MONGUI","BOYACÁ",46.09,46.59,0.55,92
"LA CAPILLA","BOYACÁ",45.05,47.19,0.55,21
"SAPUYES","NARIÑO",45.54,46.89,0.55,70
"MADRID","CUNDINAMARCA",44.82,47.31,0.55,630
"AQUITANIA","BOYACÁ",45.51,46.89,0.55,147
