"Municipio","Departamento","Lenguaje","Evaluados"
"LA SALINA","CASANARE",47.73,11
"CAPITANEJO","SANTANDER",47.72,53
"EL TAMBO","NARIÑO",47.71,152
"EL DOVIO","VALLE",47.7,82
"VILLA DE LEYVA","BOYACÁ",47.7,138
"PIEDECUESTA","SANTANDER",47.69,1558
"QUEBRADANEGRA","CUNDINAMARCA",47.69,48
"TIBASOSA","BOYACÁ",47.69,191
"CHIQUINQUIRA","BOYACÁ",47.68,895
"UBATE","CUNDINAMARCA",47.68,569
"PEREIRA","RISARALDA",47.67,5116
"RESTREPO","VALLE",47.66,194
"TARQUI","HUILA",47.66,202
"PANQUEBA","BOYACÁ",47.65,43
"GUADALUPE","ANTIOQUIA",47.64,33
"SAN PEDRO","ANTIOQUIA",47.64,331
"SUCRE","SANTANDER",47.63,97
"GUALMATAN","NARIÑO",47.61,69
"IBAGUE","TOLIMA",47.61,5666
"SOMONDOCO","BOYACÁ",47.61,49
"TOCANCIPA","CUNDINAMARCA",47.61,431
"SAN ALBERTO","CESAR",47.59,174
"SANTA ROSA DE OSOS","ANTIOQUIA",47.59,338
"NEIVA","HUILA",47.58,3155
"NUEVO COLON","BOYACÁ",47.58,95
"SAN JOSE DE LA MONTAÑA","ANTIOQUIA",47.58,33
"ISNOS","HUILA",47.57,218
"CHITAGA","NORTE SANTANDER",47.55,69
"SUBACHOQUE","CUNDINAMARCA",47.55,155
"SOATA","BOYACÁ",47.54,143
"TAUSA","CUNDINAMARCA",47.53,82
"SAN MIGUEL","SANTANDER",47.52,33
"GUATAPE","ANTIOQUIA",47.5,114
"GUAYATA","BOYACÁ",47.49,37
"COTA","CUNDINAMARCA",47.47,225
"SUTAMARCHAN","BOYACÁ",47.46,59
"SAN FRANCISCO","CUNDINAMARCA",47.45,94
"EL CALVARIO","META",47.44,25
"ILES","NARIÑO",47.43,102
"ANDES","ANTIOQUIA",47.42,466
"ALDANA","NARIÑO",47.41,92
"CALI","VALLE",47.4,11398
"PALERMO","HUILA",47.4,231
"TAMESIS","ANTIOQUIA",47.4,169
"COGUA","CUNDINAMARCA",47.39,193
"EL COCUY","BOYACÁ",47.39,74
"FLORESTA","BOYACÁ",47.38,55
"SANDONA","NARIÑO",47.38,263
"NARIÑO","ANTIOQUIA",47.37,44
"CALIMA (DARIEN)","VALLE",47.36,191
"HERVEO","TOLIMA",47.34,73
"VETAS","SANTANDER",47.33,18
"CHINCHINA","CALDAS",47.32,490
"LA URIBE","META",47.32,43
"SAN JOSE DEL PALMAR","CHOCÓ",47.32,38
"CALDAS","BOYACÁ",47.31,67
"MADRID","CUNDINAMARCA",47.31,630
